,2,7
11,Alabama,AL
12,Alaska,AK
13,Arizona,AZ
14,Arkansas,AR
15,California,CA
16,Colorado,CO
17,Connecticut,CT
18,Delaware,DE
19,District of Columbia,DC
20,Florida,FL
21,Georgia,GA
22,Hawaii,HI
23,Idaho,ID
24,Illinois,IL
25,Indiana,IN
26,Iowa,IA
27,Kansas,KS
28,Kentucky,KY
29,Louisiana,LA
30,Maine,ME
31,Maryland,MD
32,Massachusetts,MA
33,Michigan,MI
34,Minnesota,MN
35,Mississippi,MS
36,Missouri,MO
37,Montana,MT
38,Nebraska,NE
39,Nevada,NV
40,New Hampshire,NH
41,New Jersey,NJ
42,New Mexico,NM
43,New York,NY
44,North Carolina,NC
45,North Dakota,ND
46,Ohio,OH
47,Oklahoma,OK
48,Oregon,OR
49,Pennsylvania,PA
50,Rhode Island,RI
51,South Carolina,SC
52,South Dakota,SD
53,Tennessee,TN
54,Texas,TX
55,Utah,UT
56,Vermont,VT
57,Virginia,VA
58,Washington,WA
59,West Virginia,WV
60,Wisconsin,WI
61,Wyoming,WY
62,American Samoa,AS
63,Guam,GU
64,Northern Mariana Islands,MP
65,Puerto Rico,PR
66,U.S. Virgin Islands,VI
67,U.S. Minor Outlying Islands,UM
68,Baker Island,
69,Howland Island,
70,Jarvis Island,
71,Johnston Atoll,
72,Kingman Reef,
73,Midway Islands,
74,Navassa Island,
75,Palmyra Atoll[c],
76,Wake Island,
77,Marshall Islands,MH
78,Micronesia,FM
79,Palau,PW
80,U.S. Armed Forces – Americas[d],AA
81,U.S. Armed Forces – Europe[e],AE
82,U.S. Armed Forces – Pacific[f],AP
83,Nebraska,NB
84,Northern Mariana Islands,CM
85,Panama Canal Zone,CZ
86,Philippine Islands,PI
87,Trust Territory of the Pacific Islands,TT
